transaction_id,account_id,timestamp,amount,merchant_category,location,is_fraud
TRX_0000001,ACC_0190,2025-09-18 13:42:54,33.37,Gambling,Helsinki,0
TRX_0000002,ACC_0240,2025-10-11 02:10:39,87.94,Online Retail,Helsinki,0
TRX_0000003,ACC_0268,2025-10-08 11:13:38,263.06,Online Retail,Espoo,0
TRX_0000004,ACC_0180,2025-09-22 05:54:23,70.07,Groceries,Oulu,0
TRX_0000005,ACC_0347,2025-09-27 18:49:31,60.22,Gambling,Helsinki,0
TRX_0000006,ACC_0380,2025-10-01 20:23:38,60.21,Subscription,Espoo,0
TRX_0000007,ACC_0410,2025-09-30 10:38:55,158.43,Utility Bill,Oulu,0
TRX_0000008,ACC_0025,2025-09-30 14:42:57,76.38,ATM Withdrawal,Tampere,0
TRX_0000009,ACC_0383,2025-09-17 12:09:09,81.59,Jewelry,Tampere,0
TRX_0000010,ACC_0374,2025-09-13 02:05:08,52.18,Jewelry,Vantaa,0
TRX_0000011,ACC_0167,2025-09-15 22:15:23,68.63,Online Retail,Tampere,0
TRX_0000012,ACC_0247,2025-10-07 19:59:11,196.58,Subscription,Vantaa,0
TRX_0000013,ACC_0280,2025-09-21 07:18:34,235.05,Subscription,Vantaa,0
TRX_0000014,ACC_0007,2025-09-14 11:03:40,212.61,Utility Bill,Vantaa,0
TRX_0000015,ACC_0336,2025-09-21 18:49:22,235.99,Utility Bill,Vantaa,0
TRX_0000016,ACC_0376,2025-09-29 05:55:31,122.21,Gas Station,Turku,0
TRX_0000017,ACC_0188,2025-09-23 15:29:15,77.03,ATM Withdrawal,Oulu,0
TRX_0000018,ACC_0212,2025-09-11 20:44:06,8.46,ATM Withdrawal,Espoo,0
TRX_0000019,ACC_0123,2025-09-27 00:21:22,194.1,Jewelry,Oulu,0
TRX_0000020,ACC_0258,2025-09-13 10:57:08,64.85,ATM Withdrawal,Helsinki,0
TRX_0000021,ACC_0191,2025-09-24 02:18:19,114.73,Electronics,Vantaa,0
TRX_0000022,ACC_0090,2025-09-12 09:17:57,171.83,Jewelry,Helsinki,0
TRX_0000023,ACC_0032,2025-09-27 16:03:26,112.49,Jewelry,Turku,0
TRX_0000024,ACC_0253,2025-09-11 23:35:07,228.87,Jewelry,Tampere,0
TRX_0000025,ACC_0301,2025-10-10 01:30:30,98.65,Gas Station,Oulu,0
TRX_0000026,ACC_0077,2025-10-09 16:39:23,52.49,Gambling,Helsinki,0
TRX_0000027,ACC_0267,2025-09-28 22:33:47,62.72,Gas Station,Espoo,0
TRX_0000028,ACC_0260,2025-09-19 18:48:12,354.06,Gambling,Helsinki,0
TRX_0000029,ACC_0067,2025-09-13 08:05:10,111.49,Fast Food,Oulu,0
TRX_0000030,ACC_0124,2025-09-24 08:41:51,114.34,Utility Bill,Espoo,0
TRX_0000031,ACC_0218,2025-09-30 06:43:41,225.81,Jewelry,Helsinki,0
TRX_0000032,ACC_0497,2025-09-13 18:22:27,80.51,ATM Withdrawal,Tampere,0
TRX_0000033,ACC_0494,2025-09-28 06:26:46,110.39,Fast Food,Turku,0
TRX_0000034,ACC_0178,2025-09-23 18:50:37,85.36,Fast Food,Espoo,0
TRX_0000035,ACC_0335,2025-10-04 00:59:45,53.65,Travel,Espoo,0
TRX_0000036,ACC_0191,2025-09-11 23:15:43,52.02,Electronics,Oulu,0
TRX_0000037,ACC_0069,2025-10-11 12:04:39,113.93,Groceries,Vantaa,0
TRX_0000038,ACC_0310,2025-10-01 11:50:28,147.47,Gas Station,Espoo,0
